Sex,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots
M,18,57.72,192.5,97.5,222.5,512.5,446.84
M,18,73.22,190,115,245,550,400.77
M,17.5,64.96,185,117.5,215,517.5,410.32
M,17.5,111.24,225,120,245,590,347.98
M,18,92.3,207.5,125,250,582.5,371.97
M,18,117.02,290,150,275,715,414.14
M,17.5,65.46,195,120,220,535,421.76
M,17.5,71.74,222.5,120,260,602.5,445.04
M,18,65.98,215,120,250,585,458.47
M,17.5,73.18,185,130,227.5,542.5,395.45
M,18,79.72,185,120,190,495,342.03
M,17.5,79.54,230,150,230,610,422.06
M,18,104.86,311,175,280,766,462.22
M,18,92.7,202.5,97.5,230,530,337.74
M,18,73.16,207.5,107.5,225,540,393.7
M,17.5,110.26,280,152.5,321,753.5,445.88
M,18,58.82,167.5,95,225,487.5,418.3
M,17.5,152.5,265,132.5,190,587.5,314.54
M,17.5,92.62,257.5,132.5,272.5,662.5,422.35
M,17.5,65.36,200,115,256.5,571.5,451.05
M,17.5,91.4,192.5,115,212.5,520,333.66
M,17.5,72.3,212.5,137.5,225,575,422.52
M,17,73.22,190,117.5,265,572.5,417.17
M,17.5,64.06,157.5,95,180,432.5,346.58
M,17.5,72.58,205,112.5,250,567.5,415.93
M,17,104.9,301,205,330.5,836.5,504.68
M,18,102.78,260,175,247.5,682.5,415.23
M,17,82.6,230,127.5,272.5,630,426.46
M,17.5,58.84,155,90,192.5,437.5,375.29
M,17,72.64,172.5,110,225,507.5,371.75
M,17.5,58.36,170,92.5,185,447.5,386.53
M,17,115.3,260,200,250,710,413.37
M,16.5,91.46,215,137.5,240,592.5,380.05
M,16.5,58.28,145,95,177.5,417.5,361.03
M,16.5,74.2,222.5,127.5,250,600,433.43
M,17,52.8,115,87.5,145,347.5,328.08
M,16.5,65.1,167.5,87.5,172.5,427.5,338.41
M,16.5,118.7,255,190,310,755,435.19
M,16.5,65.54,140,75,205,420,330.8
M,16.5,72.18,210,115,237.5,562.5,413.79
M,16.5,92.16,205,135,260,600,383.43
M,16.5,116.4,207.5,105,190,502.5,291.59
M,16.5,80.44,135,117.5,190,442.5,304.14
M,16,73.3,177.5,97.5,215,490,356.8
M,16,65.16,230.5,140,235,605.5,478.98
M,16.5,72.9,192.5,130,195,517.5,378.18
M,16.5,81.56,182.5,85,195,462.5,315.35
M,16,57.58,175,105,197.5,477.5,417.19
M,16,72.26,220,160,245,625,459.43
M,22.5,115.76,302.5,165,297.5,765,444.77
M,22.5,119.1,340,187.5,325,852.5,490.83
M,23,104.46,307.5,172.5,315,795,480.46
M,23,118.44,300,205,300,805,464.35
M,23,82.8,282.5,167.5,315,765,517.14
M,23,92.62,295,182.5,332.5,810,516.38
M,23,57.88,175,115,222.5,512.5,445.78
M,22.5,92.92,257.5,172.5,297.5,727.5,463.06
M,22.5,73.34,227.5,140,300,667.5,485.87
M,22.5,82.24,255,157.5,320,732.5,497.08
M,22.5,103,305,175,330,810,492.36
M,22.5,80.85,240,132.5,255,627.5,430.02
M,22.5,118.54,287.5,182.5,310,780,449.8
M,22.5,92.04,270,180,300,750,479.59
M,22,92.44,232.5,152.5,250,635,405.2
M,22,52.5,147.5,87.5,180,415,393.91
M,22,73.58,250,162.5,275,687.5,499.36
M,21.5,73.46,227.5,130,290,647.5,470.81
M,21.5,58.26,190,122.5,207.5,520,449.8
M,21.5,65.32,202.5,145,257.5,605,477.71
M,22,73.76,245,170,285,700,507.63
M,21.5,91.26,265,147.5,295,707.5,454.31
M,21.5,101.54,285,162.5,310,757.5,463.21
M,21.5,65.84,227.5,132.5,272.5,632.5,496.47
M,21.5,92.36,267.5,170,240,677.5,432.5
M,22,92.5,290,180,322.5,792.5,505.54
M,21.5,65.84,225,137.5,240,602.5,472.93
M,21.5,73.34,240,150,275,665,484.05
M,21,73.76,230,147.5,310,687.5,498.56
M,21.5,82.72,277.5,200,285,762.5,515.73
M,21,82.15,262.5,170,295,727.5,493.99
M,20.5,65.54,230,160,252.5,642.5,506.04
M,20.5,104.82,292.5,162.5,337.5,792.5,478.28
M,20.5,101.92,250,167.5,250,667.5,407.53
M,20.5,119.48,322.5,170,320,812.5,467.3
M,20.5,92.14,287.5,175,340,802.5,512.89
M,20,104.86,265,177.5,305,747.5,451.06
M,19.5,73.42,200,150,235,585,425.52
M,20,63.1,185,102.5,230,517.5,419.55
M,19.5,103.2,195,142.5,245,582.5,353.79
M,19.5,92.34,277.5,162.5,320,760,485.22
M,19.5,71.8,212.5,145,252.5,610,450.33
M,18.5,60.2,162.5,102.5,177.5,442.5,372.47
M,18.5,72.26,240,150,272.5,662.5,486.99
M,18.5,58.76,175,122.5,220,517.5,444.43
M,19,92.62,292.5,220.5,295,808,515.11
M,19,124.16,250,125,300,675,383.38
M,18.5,116.2,252.5,160,265,677.5,393.38
M,18.5,73.64,255,150,285,690,500.91
M,17.5,103.82,250,152.5,252.5,655,396.85
M,17.5,64.6,165,110,202.5,477.5,380.2
M,17.5,82.56,220,140,260,620,419.81
M,17.5,73.38,222.5,157.5,255,635,462.05
M,18,92.8,250,130,262.5,642.5,409.22
M,17.5,157.3,255,130,247.5,632.5,335.87
M,17.5,91.9,227.5,122.5,240,590,377.56
M,18,117.28,308.5,182.5,360.5,851.5,492.83
M,18,150.1,307.5,172.5,320,800,430.13
M,17.5,80.42,187.5,112.5,205,505,347.15
M,18,73.5,195,122.5,237.5,555,403.41
M,18,65.06,182.5,115,222.5,520,411.82
M,17.5,58.96,150,120,175,445,381.08
M,17.5,50.2,127.5,90,170,387.5,383.97
M,17.5,101.84,232.5,162.5,275,670,409.2
M,18,52.9,137.5,95,172.5,405,381.7
M,17.5,82.36,242.5,147.5,282.5,672.5,455.99
M,17.5,81.96,230,142.5,255,627.5,426.65
M,17.5,92.46,240,120,225,585,373.25
M,17.5,82.52,257.5,147.5,260,665,450.4
M,17.5,89.92,195,135,282.5,612.5,396.22
M,17.5,58.12,185,102.5,215,502.5,435.55
M,18,82.42,195,115,250,560,379.55
M,17.5,57.84,142.5,100,195,437.5,380.77
M,17.5,73.42,210,130,245,585,425.52
M,17.5,52.3,137.5,92.5,180,410,390.56
M,17.5,73.5,222.5,140,250,612.5,445.2
M,16.5,51.5,142.5,110,170,422.5,408.41
M,17,78.82,217.5,145,252.5,615,427.84
M,16.5,104.92,262.5,140,255,657.5,396.66
M,17,81.4,202.5,160,255,617.5,421.51
M,16.5,71.82,195,140,215,550,405.95
M,16.5,65.9,182.5,142.5,190,515,403.97
M,29,57.6,221,160,270,651,568.6
M,33.5,57.8,202.5,145,200,547.5,476.79
M,46,58.55,187.5,100,252.5,540,465.15
M,29,59,200,110,217.5,527.5,451.47
M,26,58.7,225,97.5,172.5,495,425.47
M,44.5,58.6,165,125,200,490,421.77
M,42.5,58.9,155,87.5,215,457.5,392.12
M,29.5,64,220,160,260,640,513.22
M,30.5,66,222.5,160,235,617.5,483.83
M,41.5,65.75,215,135,250,600,471.44
M,28,65.7,187.5,140,235,562.5,442.23
M,44.5,65.8,180,130,232.5,542.5,426.02
M,34.5,65.6,185,120,230,535,421.09
M,36.5,65.45,172.5,97.5,250,520,409.98
M,24.5,65.95,160,135,200,495,388.06
M,34,63.3,150,112.5,182.5,445,359.89
M,30.5,73.4,225,167.5,277.5,670,487.43
M,36.5,73.2,220,150,280,650,473.73
M,44.5,73.8,227.5,162.5,255,645,467.58
M,36.5,73.4,192.5,155,265,612.5,445.6
M,31,72.2,200,162.5,247.5,610,448.65
M,24.5,73.55,220,150,240,610,443.19
M,22.5,71.5,200,120,272.5,592.5,438.64
M,20.5,72.65,205,125,262.5,592.5,433.98
M,45.5,73.25,220,125,242.5,587.5,427.98
M,37.5,72.6,220,135,230,585,428.68
M,26,72,202.5,155,225,582.5,429.22
M,22.5,73.85,187.5,102.5,227.5,517.5,374.98
M,21,66.45,170,115,215,500,389.8
M,17.5,73.85,185,102.5,210,497.5,360.49
M,37.5,80,252.5,172.5,295,720,496.47
M,29.5,81.15,252.5,175,287.5,715,488.93
M,33.5,82.9,235,162.5,310,707.5,477.95
M,24,82.2,255,160,275,690,468.37
M,28,82.3,250,177.5,250,677.5,459.57
M,33.5,81.95,210,165,280,655,445.38
M,21.5,80.4,227.5,177.5,245,650,446.89
M,41.5,82.6,222.5,177.5,232.5,632.5,428.16
M,25.5,82.4,215,135,280,630,427.05
M,25.5,81.5,195,192.5,230,617.5,421.21
M,32,81.2,177.5,137.5,250,565,386.22
M,33.5,80.7,170,160,225,555,380.75
M,22,89.3,252.5,182.5,330,765,496.61
M,31.5,92.25,252.5,205,300,757.5,483.85
M,33.5,91.6,260,180,305,745,477.51
M,26,92.95,252.5,192.5,297.5,742.5,472.54
M,24.5,92.3,260,170,305,735,469.36
M,28.5,91.8,260,175,290,725,464.2
M,24.5,89.05,250,170,302.5,722.5,469.69
M,28.5,93,255,172.5,290,717.5,456.51
M,23.5,91.3,265,162.5,280,707.5,454.21
M,34.5,91.95,250,180,270,700,447.83
M,25.5,91.65,230,172.5,292.5,695,445.35
M,29.5,92.4,240,182.5,270,692.5,441.98
M,29.5,92.25,217.5,175,285,677.5,432.75
M,26.5,92.3,260,142.5,270,672.5,429.44
M,22.5,90.8,220,185,260,665,428.09
M,26.5,92.75,222.5,180,260,662.5,422.06
M,24.5,92.45,260,150,250,660,421.13
M,31.5,92.35,232.5,145,275,652.5,416.56
M,29.5,92.1,210,187.5,252.5,650,415.51
M,28.5,92,220,167.5,220,607.5,388.55
M,39.5,103.55,312.5,210,325,847.5,514.03
M,19.5,104.2,325,207.5,312.5,845,511.2
M,32.5,104.05,307.5,200,322.5,830,502.42
M,27.5,103.8,282.5,187.5,340,810,490.8
M,28.5,104.4,290,180,325,795,480.57
M,28.5,104.65,290,197.5,300,787.5,475.58
M,32.5,99,270,180,302.5,752.5,465.21
M,24.5,103.35,255,185,310,750,455.25
M,26.5,104.65,270,187.5,290,747.5,451.42
M,26.5,99.85,275,205,260,740,455.78
M,23.5,104.55,272.5,190,270,732.5,442.54
M,32.5,103.8,265,150,312.5,727.5,440.81
M,52.5,103.35,270,170,280,720,437.04
M,45.5,103.75,255,185,270,710,430.29
M,41.5,99.75,235,170,235,640,394.36
M,24.5,103.85,240,120,270,630,381.65
M,29.5,101.55,187.5,187.5,240,615,376.06
M,35,119.85,350,210,355.5,915.5,526
M,41,113.75,340,197.5,327.5,865,506.04
M,27,118.7,315,207.5,342.5,865,498.59
M,25.5,115.05,300,197.5,307.5,805,469.04
M,28.5,119.25,302.5,205,292.5,800,460.41
M,42.5,115.7,290,180,300,770,447.76
M,41,116.2,282.5,195,290,767.5,445.63
M,30.5,117.3,265,187.5,305,757.5,438.4
M,35.5,117.15,275,160,320,755,437.14
M,39.5,110.35,245,185,300,730,431.84
M,26.5,119,255,195,275,725,417.54
M,38.5,118.2,275,160,265,700,404.06
M,23.5,116.65,265,162.5,262.5,690,400.1
M,24,158.75,375,215,317.5,907.5,480.74
M,24.5,162.25,332.5,197.5,330,860,452.98
M,41.5,132,330,215,310,855,476.57
M,29.5,151.4,330,185,332.5,847.5,454.62
M,39.5,137.5,307.5,227.5,310,845,465.44
M,23.5,142.5,325,205,310,840,458.07
M,37.5,129.55,300,200,325,825,462.44
M,29.5,160,300,185,340,825,436.14
M,37,139.35,307.5,215,290,812.5,445.85
M,23,144.3,290,182.5,315,787.5,427.96
M,33.5,128.05,295,195,275,765,430.33
M,23.5,138.05,285,200,275,760,418.15
M,27.5,129.35,260,215,275,750,420.59
F,30,46.7,145,77.5,172.5,395,520.13
F,41.5,46.75,117.5,90.5,170.5,378.5,498.01
F,50.5,46.6,112.5,55,140,307.5,405.56
F,44.5,42.15,90,40,135,265,377.38
F,57.5,44.55,70,50,117.5,237.5,324.03
F,40.5,46.35,72.5,57.5,95,225,297.94
F,32.5,51.65,132.5,90,160,382.5,468.43
F,43,51.55,145,80,147.5,372.5,456.8
F,43.5,50.7,125,75,152.5,352.5,437.35
F,25.5,50.45,122.5,65,157.5,345,429.55
F,41,51.15,112.5,90,135,337.5,416.14
F,55.5,51.3,100,62.5,155,317.5,390.68
F,38,51.55,102.5,80,135,317.5,389.35
F,27.5,50.9,90,70,155,315,389.74
F,21,51.4,115,65,135,315,387.08
F,53.5,51.95,90,72.5,140,302.5,368.96
F,19,51.2,100,65,120,285,351.17
F,20.5,50.65,72.5,45,95,212.5,263.84
F,25.5,56.7,130,95,172.5,397.5,456.99
F,32.5,56.7,140,92.5,162.5,395,454.12
F,28.5,55.65,122.5,77.5,175,375,436.48
F,24.5,56.5,115,80,175,370,426.36
F,24,52.9,120,65,150,335,403.52
F,31.5,56.45,110,80,145,335,386.26
F,50.5,53.7,105,67.5,155,327.5,390.45
F,28.5,56.25,107.5,75,132.5,315,364.05
F,37.5,56.5,102.5,62.5,130,295,339.94
F,50,53.5,90,65,127.5,282.5,337.66
F,21.5,52.05,92.5,60,120,272.5,331.93
F,33.5,61.65,142.5,105,220.5,468,510.08
F,38,61.6,142.5,132.5,192.5,467.5,509.79
F,31.5,60.15,142.5,97.5,170,410,453.79
F,23.5,62.75,142.5,90,172.5,405,436.64
F,36.5,62.7,125,75,157.5,357.5,385.62
F,28,62.55,120,87.5,140,347.5,375.38
F,20.5,57.65,85,65,125,275,312.75
F,50.5,61.35,95,60,112.5,267.5,292.43
F,18.5,61.1,92.5,52.5,115,260,284.96
F,27.5,70.95,155,102.5,167.5,425,426.57
F,22,70.8,137.5,85,190,412.5,414.51
F,44.5,66.95,137.5,82.5,185,405,420.11
F,25.5,69.35,132.5,82.5,182.5,397.5,404.09
F,26.5,71.35,140,102.5,145,387.5,387.72
F,27.5,71.4,142.5,77.5,155,375,375.07
F,38.5,69.45,112.5,90,150,352.5,358.05
F,27.5,71.85,100,65,160,325,323.94
F,38.5,83.35,205,135,195,535,494.11
F,28.5,83.1,190,105,210,505,467.07
F,23.5,82.85,162.5,85,175,422.5,391.34
F,43.5,81.9,122.5,110,160,392.5,365.58
F,48,77.55,135,80,160,375,358.94
F,50.5,126,177.5,112.5,225,515,407.93
F,35.5,94.84,155,95,187.5,437.5,381.38
F,20.5,85.8,152.5,80,180,412.5,375.8
F,33.5,115.2,132.5,112.5,160,405,328.9
F,30.5,101.35,145,77.5,170,392.5,333.21
F,51.5,107.8,100,55,160,315,261.46
M,37,56,188.24,117.93,226.8,532.97,477.04
M,16,54.88,163.29,95.25,224.53,483.08,440.23
M,31,60,201.85,115.67,240.4,557.92,470.91
M,28,60,197.31,140.61,181.44,519.36,438.36
M,28.5,82.5,263.08,179.17,317.52,759.77,514.66
